id,name,floor,type
1,שער גבעת מרדכי/בייט,-3,כניסה חיצונית
2,שער כניסה תחתון,-2,כניסה חיצונית
3,אודיטוריום,-2,אולם
4,מעלית,כל הקומות,תשתית
5,פינת ישיבה מרכזית,0,אזור ישיבה
6,פינת למידה 0,0,אזור למידה
7,מרכז שירות לסטודנט,0,שירות
8,מרכז מודיעין,0,שירות
9,קפיטריה,0,מזון
10,בית כנסת,0,שירות
11,מחשוב,0,שירות
12,גן עוזי,0,חוץ
13,אגודה ומרכז ייעוץ,0,שירות
14,כניסה 0,0,כניסה
15,שער רכבים ראשי,0,כניסה חיצונית
16,שער כניסה בית הכרם,0,כניסה חיצונית
17,שער כניסה למכללה ראשי,0,כניסה חיצונית
18,שירותים -2,-2,שירות
19,שירותים -1,-1,שירות
20,שירותים 0,0,צומת מרכזי
21,שירותים 1,1,שירות
22,שירותים 2,2,שירות
23,שירותים 3,3,שירות
24,c-103,-1,כיתה
25,c-104,-1,כיתה
26,c-105,-1,כיתה
27,c-106,-1,כיתה
28,c102,1,כיתה
29,c103,1,כיתה
30,c104,1,כיתה
31,c105,1,כיתה
32,c106,1,כיתה
33,c107,1,כיתה
34,c108,1,כיתה
35,c109,1,כיתה
36,c110,1,כיתה
37,c202,2,כיתה
38,c203,2,כיתה
39,c204,2,כיתה
40,c205,2,כיתה
41,c206,2,כיתה
42,c207,2,כיתה
43,c208,2,כיתה
44,c209,2,כיתה
45,c210,2,כיתה
46,פינת למידה 3,3,אזור למידה
47,ספריה,3,שירות
